impl,workload,nkeys,threads,nlocks,seconds,seed,run_id,total_ops,ops_per_s
striped,mix7030,10000,2,1024,2,123,3,41793171,2.0895e+07
striped,mix7030,10000,4,1024,2,123,1,64323466,3.21567e+07
striped,mix7030,10000,4,1024,2,123,2,62914510,3.14532e+07
striped,mix7030,10000,4,1024,2,123,3,67227626,3.36102e+07
striped,mix7030,10000,8,1024,2,123,1,95705557,4.78431e+07
striped,mix7030,10000,8,1024,2,123,2,97951642,4.89661e+07
striped,mix7030,10000,8,1024,2,123,3,96927462,4.84555e+07
striped,mix7030,10000,16,1024,2,123,1,118759189,5.93565e+07
striped,mix7030,10000,16,1024,2,123,2,118636789,5.92955e+07
striped,mix7030,10000,16,1024,2,123,3,119828979,5.9894e+07
striped,mix7030,100000,1,1024,2,123,1,18272905,9.13568e+06
striped,mix7030,100000,1,1024,2,123,2,18906268,9.45218e+06
striped,mix7030,100000,1,1024,2,123,3,18159450,9.07867e+06
striped,mix7030,100000,2,1024,2,123,1,34366126,1.71814e+07
striped,mix7030,100000,2,1024,2,123,2,35376976,1.7687e+07
striped,mix7030,100000,2,1024,2,123,3,34699354,1.73482e+07
striped,mix7030,100000,4,1024,2,123,1,57451504,2.87236e+07
striped,mix7030,100000,4,1024,2,123,2,58151257,2.90727e+07
striped,mix7030,100000,4,1024,2,123,3,57634209,2.8815e+07
striped,mix7030,100000,8,1024,2,123,1,86906065,4.3445e+07
striped,mix7030,100000,8,1024,2,123,2,85207504,4.25966e+07
striped,mix7030,100000,8,1024,2,123,3,85273030,4.26275e+07
striped,mix7030,100000,16,1024,2,123,1,111702308,5.58318e+07
striped,mix7030,100000,16,1024,2,123,2,112146197,5.6023e+07
striped,mix7030,100000,16,1024,2,123,3,112135820,5.60476e+07
striped,mix7030,1000000,1,1024,2,123,1,8956466,4.47799e+06
striped,mix7030,1000000,1,1024,2,123,2,8381325,4.19047e+06
striped,mix7030,1000000,1,1024,2,123,3,9361802,4.6806e+06
striped,mix7030,1000000,2,1024,2,123,1,16499792,8.24912e+06
striped,mix7030,1000000,2,1024,2,123,2,17696675,8.84762e+06
striped,mix7030,1000000,2,1024,2,123,3,12288960,6.14415e+06
striped,mix7030,1000000,4,1024,2,123,1,23448931,1.17231e+07
striped,mix7030,1000000,4,1024,2,123,2,18309978,9.15427e+06
striped,mix7030,1000000,4,1024,2,123,3,15780513,7.88949e+06
striped,mix7030,1000000,8,1024,2,123,1,33525894,1.67585e+07
striped,mix7030,1000000,8,1024,2,123,2,36159031,1.80763e+07
striped,mix7030,1000000,8,1024,2,123,3,32815605,1.64045e+07
striped,mix7030,1000000,16,1024,2,123,1,56834588,2.84035e+07
striped,mix7030,1000000,16,1024,2,123,2,53707451,2.68451e+07
striped,mix7030,1000000,16,1024,2,123,3,46856106,2.34172e+07
